date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:35	164103/164103	---M-Z	200	added ('OK')	text/html	etag:%22a152a317853e7356c80b32b72fcdd4ab%22	https://licznikbot.framer.website/	C:/Moje%20Strony%20Web/skibidibonk/licznikbot.framer.website/index.html	(from )
21:19:35	98/98	---M-Z	200	added ('OK')	text/plain	etag:%2299c2c1b225481da7cd2b1c15c0668a87%22	https://licznikbot.framer.website/robots.txt		(from )
21:19:35	820/820	---MC-	200	added ('OK')	image/png	etag:%22c5512378710de5e7e357b9ddbf187a91%22	https://framerusercontent.com/images/6gJvwdgUqpnqoWNukcXROiylXUw.png	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/6gJvwdgUqpnqoWNukcXROiylXUw.png	(from https://licznikbot.framer.website/)
21:19:35	832/832	---MC-	200	added ('OK')	image/png	etag:%22837a5a8c7b30f63e3d49cec71127e882%22	https://framerusercontent.com/images/PabxTojwHP8h4qZ3ItGgzIcxiA0.png	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/PabxTojwHP8h4qZ3ItGgzIcxiA0.png	(from https://licznikbot.framer.website/)
21:19:35	5850/5850	---MC-	200	added ('OK')	image/png	etag:%22bbece66b4a1cbf2b9cfcf003d5504d38%22	https://framerusercontent.com/images/kvtjasscs85T7Ewt0E1YjneG9oM.png	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/kvtjasscs85T7Ewt0E1YjneG9oM.png	(from https://licznikbot.framer.website/)
21:19:35	151452/151452	---MC-	200	added ('OK')	image/png	etag:%2235bd7c5b4605fe717d6c34740ed4b1c7%22	https://framerusercontent.com/images/8h3n6v03KuZWTnhwLGqyVMEqsY.png	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/8h3n6v03KuZWTnhwLGqyVMEqsY.png	(from https://licznikbot.framer.website/)
21:19:36	3779/3779	---MC-	200	added ('OK')	image/png	etag:%22731f233cbde442f299c171b12342af47%22	https://framerusercontent.com/images/OqucN1BBoAD21DVmfwku0zgexF4.png	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/OqucN1BBoAD21DVmfwku0zgexF4.png	(from https://licznikbot.framer.website/)
21:19:36	148995/148995	---M-Z	200	added ('OK')	text/html	etag:%22a1cd3fd487e53222be547bf259ea7fdf%22	https://licznikbot.framer.website/about	C:/Moje%20Strony%20Web/skibidibonk/licznikbot.framer.website/about.html	(from https://licznikbot.framer.website/)
21:19:37	178437/178437	---M-Z	200	added ('OK')	text/html	etag:%221a76b9934c086a7ee1dc1362aa08f789%22	https://licznikbot.framer.website/contact	C:/Moje%20Strony%20Web/skibidibonk/licznikbot.framer.website/contact.html	(from https://licznikbot.framer.website/)
21:19:37	169148/169148	---MC-	200	added ('OK')	image/jpeg	etag:%22240fbd1071bdf9773e6691ed9df1556e%22	https://framerusercontent.com/images/H5C9PEz6HOH8XJZgEi1YXASUGso.jpg	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/H5C9PEz6HOH8XJZgEi1YXASUGso.jpg	(from https://licznikbot.framer.website/)
21:19:37	339527/339527	---MC-	200	added ('OK')	image/gif	etag:%223a36a594a630a74b77d9183de5967748%22	https://framerusercontent.com/images/6IbE8hWKzJPwZkXKw20IU1ZKURQ.gif	C:/Moje%20Strony%20Web/skibidibonk/framerusercontent.com/images/6IbE8hWKzJPwZkXKw20IU1ZKURQ.gif	(from https://licznikbot.framer.website/)
